test_id,test_file,solution_file,passed_tests,total_tests,validity_rate
0,HumanEval_0.py,000_has_close_elements.py,10,10,1.0
1,HumanEval_1.py,001_separate_paren_groups.py,8,10,0.8
2,HumanEval_2.py,002_truncate_number.py,10,10,1.0
3,HumanEval_3.py,003_below_zero.py,10,10,1.0
4,HumanEval_4.py,004_mean_absolute_deviation.py,9,10,0.9
5,HumanEval_5.py,005_intersperse.py,10,10,1.0
6,HumanEval_6.py,006_parse_nested_parens.py,10,10,1.0
7,HumanEval_7.py,007_filter_by_substring.py,10,10,1.0
8,HumanEval_8.py,008_sum_product.py,10,10,1.0
9,HumanEval_9.py,009_rolling_max.py,10,10,1.0
10,HumanEval_10.py,010_is_palindrome.py,0,10,0.0
11,HumanEval_11.py,011_string_xor.py,10,10,1.0
12,HumanEval_12.py,012_longest.py,10,10,1.0
13,HumanEval_13.py,013_greatest_common_divisor.py,8,10,0.8
14,HumanEval_14.py,014_all_prefixes.py,9,10,0.9
15,HumanEval_15.py,015_string_sequence.py,10,10,1.0
16,HumanEval_16.py,016_count_distinct_characters.py,10,10,1.0
17,HumanEval_17.py,017_parse_music.py,10,10,1.0
18,HumanEval_18.py,018_how_many_times.py,9,10,0.9
19,HumanEval_19.py,019_sort_numbers.py,10,10,1.0
20,HumanEval_20.py,020_find_closest_elements.py,9,10,0.9
21,HumanEval_21.py,021_rescale_to_unit.py,9,10,0.9
22,HumanEval_22.py,022_filter_integers.py,10,10,1.0
23,HumanEval_23.py,023_strlen.py,6,10,0.6
24,HumanEval_24.py,024_largest_divisor.py,10,10,1.0
25,HumanEval_25.py,025_factorize.py,10,10,1.0
26,HumanEval_26.py,026_remove_duplicates.py,10,10,1.0
27,HumanEval_27.py,027_flip_case.py,10,10,1.0
28,HumanEval_28.py,028_concatenate.py,10,10,1.0
29,HumanEval_29.py,029_filter_by_prefix.py,10,10,1.0
30,HumanEval_30.py,030_get_positive.py,10,10,1.0
31,HumanEval_31.py,031_is_prime.py,10,10,1.0
32,HumanEval_32.py,032_find_zero.py,0,10,0.0
33,HumanEval_33.py,033_sort_third.py,10,10,1.0
34,HumanEval_34.py,034_unique.py,10,10,1.0
