id,entry_point,coverage,statements,missing,partial
0,has_close_elements,80.0,10,"[1, 3]",1-3
1,separate_paren_groups,93.33,15,[1],1
2,truncate_number,60.0,5,"[1, 3]",1-3
3,below_zero,85.71,7,[1],1
4,mean_absolute_deviation,77.78,9,"[1, 3]",1-3
5,intersperse,85.71,7,[1],1
6,parse_nested_parens,92.86,14,[1],1
7,filter_by_substring,50.0,2,[1],1
8,sum_product,75.0,8,"[1, 3]",1-3
9,rolling_max,88.89,9,[1],1
10,is_palindrome,7.14,14,"[1, 7, 36, 37, 39, 46, 47, 48, 49, 50, 51, 55, 58]","1, 7-58"
11,string_xor,90.0,10,[1],1
12,longest,75.0,4,[1],1
13,greatest_common_divisor,75.0,4,[1],1
14,all_prefixes,80.0,5,[1],1
15,string_sequence,75.0,4,[1],1
16,count_distinct_characters,80.0,5,[1],1
17,parse_music,81.82,11,"[1, 58]","1, 58"
18,how_many_times,87.5,8,[1],1
19,sort_numbers,80.0,5,[1],1
20,find_closest_elements,86.67,15,"[1, 3]",1-3
21,rescale_to_unit,85.71,14,"[1, 3]",1-3
22,filter_integers,50.0,2,[1],1
23,strlen,50.0,2,[1],1
24,largest_divisor,71.43,7,"[1, 40]","1, 40"
25,factorize,93.75,16,[1],1
26,remove_duplicates,75.0,8,"[1, 3]",1-3
27,flip_case,88.89,9,[1],1
28,concatenate,50.0,2,[1],1
29,filter_by_prefix,83.33,6,[1],1
30,get_positive,50.0,2,[1],1
31,is_prime,84.62,13,"[1, 3]",1-3
32,_evaluate_poly_horner,90.91,44,"[1, 3, 27, 128]","1-3, 27, 128"
33,sort_third,92.86,14,[1],1
34,unique,50.0,4,"[1, 3]",1-3
35,max_element,87.5,8,[1],1
36,fizz_buzz,85.71,7,[1],1
37,sort_even,93.75,16,[1],1
38,encode_cyclic,44.44,18,"[1, 30, 46, 47, 49, 50, 51, 54, 55, 57]","1, 30-57"
39,is_prime,90.48,21,"[1, 15]","1, 15"
40,triples_sum_to_zero,90.0,10,[1],1
41,count_collisions,0.0,0,[],[]
42,incr_list,50.0,2,[1],1
43,pairs_sum_to_zero,85.71,7,[1],1
44,change_base,88.89,9,[1],1
45,triangle_area,75.0,4,[1],1
46,fib4,95.0,20,[1],1
47,median,80.0,10,"[1, 22]","1, 22"
48,is_palindrome,50.0,2,[1],1
49,modp,50.0,2,[1],1
50,encode_shift,51.06,47,"[1, 4, 5, 7, 41, 78, 79, 82, 83, 84, 87, 88, 91, 92, 93, 94, 95, 96, 98, 99, 100, 101, 102]","1-7, 41, 78-102"
51,remove_vowels,66.67,3,[1],1
52,below_threshold,80.0,5,[1],1
53,add,50.0,2,[1],1
54,same_chars,75.0,4,[1],1
55,fib,81.82,11,"[1, 24]","1, 24"
56,correct_bracketing,90.0,10,[1],1
57,monotonic,75.0,4,[1],1
58,common,85.71,7,[1],1
59,largest_prime_factor,86.67,15,"[1, 3]",1-3
60,sum_to_n,75.0,4,[1],1
61,correct_bracketing,90.0,10,[1],1
62,derivative,85.71,7,[1],1
63,fibfib,93.75,16,[1],1
64,vowels_count,0.0,0,[],[]
65,circular_shift,90.91,11,[1],1
66,digitSum,83.33,6,[1],1
67,fruit_distribution,83.33,6,[1],1
68,pluck,84.62,13,"[1, 37]","1, 37"
69,search,75.0,8,"[1, 3]",1-3
70,strange_sort_list,93.75,16,[1],1
71,triangle_area,81.82,11,"[1, 3]",1-3
72,will_it_fly,80.0,5,[1],1
73,smallest_change,85.71,7,[1],1
74,total_match,87.5,8,[1],1
75,_get_primes_up_to,53.12,32,"[1, 7, 9, 10, 12, 13, 15, 16, 17, 18, 20, 21, 22, 26, 29]",1-29
76,is_simple_power,92.31,13,[1],1
77,iscube,90.0,10,[1],1
78,count_prime_hex_digits,85.71,7,[1],1
79,decimal_to_binary,80.0,5,[1],1
80,is_happy,90.0,10,[1],1
81,grade_equation,96.77,31,[1],1
82,prime_length,87.5,16,"[1, 29]","1, 29"
83,starts_one_ends,75.0,4,[1],1
84,solve,83.33,6,[1],1
85,add,85.71,7,[1],1
86,is_sorted_ascii,88.24,17,"[1, 15]","1, 15"
87,get_row,87.5,8,[1],1
88,sort_array,88.89,9,[1],1
89,encrypt,87.5,16,"[1, 3]",1-3
90,next_smallest,85.71,7,[1],1
91,is_bored,83.33,12,"[1, 3]",1-3
92,any_int,83.33,6,[1],1
93,encode,93.75,16,[1],1
94,is_prime,0.0,0,[],[]
95,check_dict_case,92.86,14,[1],1
96,is_prime,80.0,20,"[1, 3, 14, 29]","1-3, 14, 29"
97,multiply,75.0,4,[1],1
98,count_upper,87.5,8,[1],1
99,closest_integer,84.62,13,"[1, 3]",1-3
100,make_a_pile,85.71,7,[1],1
101,words_string,75.0,4,[1],1
102,choose_num,87.5,8,[1],1
103,rounded_avg,88.89,9,[1],1
104,unique_digits,88.24,17,"[1, 21]","1, 21"
105,sort_reverse_and_name_digits,0.0,0,[],[]
106,factorial,81.25,16,"[1, 11, 19]","1, 11, 19"
107,count_even_odd_palindromes,0.0,0,[],[]
108,count_nums,94.44,18,[1],1
109,move_one_ball,93.33,15,[1],1
110,exchange,91.67,12,[1],1
111,histogram,83.33,12,"[1, 3]",1-3
112,process_and_check_palindrome,0.0,0,[],[]
113,odd_count,90.91,11,[1],1
114,minSubArraySum,77.78,9,"[1, 17]","1, 17"
115,empty_wells,77.78,9,"[1, 3]",1-3
116,sort_array,83.33,6,[1],1
117,select_words,93.33,15,[1],1
118,get_closest_vowel,91.67,12,[1],1
119,is_good,90.0,20,"[1, 27]","1, 27"
120,find_k_largest_numbers,0.0,0,[],[]
121,solution,85.71,7,[1],1
122,sum_at_most_two_digits_from_first_k,0.0,0,[],[]
123,get_odd_collatz,92.86,14,[1],1
124,valid_date,87.5,40,"[1, 14, 31, 48, 51]","1, 14, 31, 48-51"
125,split_words,91.67,12,[1],1
126,is_sorted,83.33,12,"[1, 3]",1-3
127,is_prime,88.0,25,"[1, 3, 26]","1-3, 26"
128,prod_signs,92.86,14,[1],1
129,find_minimum_path,0.0,0,[],[]
130,tribonacci,92.31,13,[1],1
131,digits,92.31,13,[1],1
132,is_nested,92.86,14,[1],1
133,sum_of_ceiling_squares,0.0,0,[],[]
134,check_if_last_char_is_a_letter,91.67,12,[1],1
135,can_arrange,80.0,5,[1],1
136,largest_smallest_integers,90.91,11,[1],1
137,_parse_to_float,88.89,18,"[1, 23]","1, 23"
138,is_equal_to_sum_even,83.33,6,[1],1
139,brazilian_factorial,81.82,11,"[1, 3]",1-3
140,fix_spaces,60.0,5,"[1, 3]",1-3
141,file_name_check,95.0,20,[1],1
142,process_and_sum_list,0.0,0,[],[]
143,filter_prime_length_words,90.48,21,"[1, 3]",1-3
144,simplify,90.0,10,[1],1
145,get_digit_sum,89.47,19,"[1, 24]","1, 24"
146,specialFilter,90.91,11,[1],1
147,get_max_triples,89.47,19,"[1, 4]",1-4
148,bf,83.33,12,"[1, 12]",1-12
149,list_sort,75.0,4,[1],1
150,x_or_y,71.43,21,"[1, 14, 15, 17, 21, 47]","1-21, 47"
151,double_the_difference,87.5,8,[1],1
152,compare,85.71,7,[1],1
153,Strongest_Extension,93.75,16,[1],1
154,cycpattern_check,88.89,9,[1],1
155,even_odd_count,90.0,10,[1],1
156,int_to_mini_roman,90.0,10,[1],1
157,right_angle_triangle,83.33,6,[1],1
158,find_max,94.12,17,[1],1
159,eat,80.0,5,[1],1
160,do_algebra,87.5,8,[1],1
161,solve,93.75,16,[1],1
162,string_to_md5,57.14,7,"[1, 2, 4]",1-4
163,generate_integers,87.5,8,[1],1
